,firm,pros: career opportunities,pros: compensation and benefits,pros: senior management,pros: work life balance,pros: culture and values,pros: diversity and inclusion,cons: career opportunities,cons: compensation and benefits,cons: senior management,cons: work life balance,cons: culture and values,cons: diversity and inclusion,index,opportunities,compensation,management,worklife_balance,culture,diversity,kmeans_labels
10,Jenny-Craig,"Jenny Craig offers many career opportunities for its employees, including the chance to grow and develop new skills.","The company provides competitive pay and benefits, including medical, dental, PTO, etc., which is very rewarding.",The CEO and Leadership team are amazing.,Good work life balance,,,"Poor opportunities for upward mobility, structured to manipulate information and influence largely elderly customers with false science","Only decent compensations and annual raises, The pay is pretty low.","Management needs improvement, work as a team and if they are slacking it’s hard to hit bonus since we need to hit as a team, Management is disorganized and made to treat employees now like numbers instead of humans. Senior management makes poor decisions, and front-line staff have to pick up the pieces.","There is no work/life balance, with market directors and division managers expecting staff to be available whenever they say we have to work.","toxic work environment with women always competing about their weight, counting calories, eating disorders among the consultants.",Upper management cares about nothing but themselves. Corporate devils! They expect you to do nothing but make quota every single month and could care less about their employees.,2095,2.99,3.15,2.94,3.21,3.14,3.37,4
11,Amgen,"Remote flexible hours, talented people, Great Varied work and internal career opportunities","insurance benefits and perks are great, Good Work Life Balance; They give you the first 5 percent for free, and then match the next 5 percent",,"Great Culture, Good work life balance I feel valued Remote working option","Strong and positive culture & values. Focus on diversity & inclusion., Strong and positive culture & values. Focus on diversity & inclusion.",Focus on diversity & inclusion.,Very difficult to move up in the organization unless you are the right corporate aka cultural fit,"Pay does not keep up for the work done as the years go on. Good to start at, but not for a long period of time., Pay is not pacing with market and inflation, Pay and titles not competitive with Pharma/Biotech industry. Amgen significantly underpays compare to equal sized competitors, ~10-60%. Especially considering expensive Thousand Oaks/Ventura/LA area.",,team time off is sometimes difficult but other than that nothing,"Very formal and hierarchal culture. Internally competitive culture, nepotism drives promotions, Having so many long timers makes teams clique-ish. Ideas and creativity are stifled by the attitude that this is how Amgen does it. There’s a haughtiness and condescension from some Amgen veterans when dealing with new employees.",,642,3.62,4.07,3.59,3.81,3.96,4.06,2
12,Kantar,Good career progression and growth opportunities are available for employees who are willing to put in the work. Opportunities to learn from the start.,"The company offers a cost-of-living bonus and a dedicated well-being day, making it a great benefit package. Salary levels are a bit lower but still a good option. Senior Management is supportive of employee well-being and benefit. The salary is not even matching the market standards. They do all the cost cutting from the employees salary",Senior Management is supportive of employee well-being and benefit.,"Very good when it comes to Work life balance. Work load is not too much, Awesome work culture Supportive Work colleagues Flexible hours.","Inclusive culture., I&D strategy and initiatives are excellent, good values and purpose, nice people",Inclusive culture.,"Less increament, nothing else to mention","Low pay and no progression, Salaries are fair but could be more competitive. The salary is not even matching the market standards. They do all the cost cutting from the employees salary",-Senior Management do not understand problems at lower levels.,"Bad work and life balance, Nothing as of now Poor work life balance There is no work-life balance Most of the bosses shout, and yell all the time No matter how much effort you put they never appreciate. Workload and Deadlines -Work-Life Balance",-Office politics during appraisal,Unreliable working platforms 2) Excessively long hours of work 3) Office politics during appraisal,306,3.41,3.05,3.23,3.19,3.63,3.81,4
13,Kate-Spade-New-York,"They offer opportunities for growth and development, as well as a supportive staff.","Great benefits, company that cares about its employees","Management is great, flexible with making sure you have a good work/life balance.",Early finish Fridays to balance work/life.,"Inclusive, friendly and fun place to work, Culture and benefits are great, along with loving environment and supportive staff.",encourages women empowerment through team,"Not much opportunity to become full-time., Not much room for growth.",Discount isn’t great. Training isn’t good. Pay isn’t as good as other brands.,,"-Working mall hours was very draining. I also didn’t like how wonky the schedule was and how much it often changed, making it impossible to make plans.","-A handful of toxic people, one in particular who exhibits bullying behaviour while proclaiming to be the happiest person in the office., weird, bratty girls. makes u do more work then hired you for, weird dynamic and lots of drama","- the upper management is racist and non-inclusive - as a POC, i personally have felt discriminated because i am not a white woman by giving me dirty looks and not greeting certain employees when visiting the store",1172,3.37,3.49,3.41,3.5,3.84,3.91,1
14,Keysight-Technologies,"Flexible working time, plenty internal jobs to move around and gain experience","The benefits are not too bad, but still can improve, Not good salary and benefits, Salary way below industry standard",Senior management is well-organized and supportive.,"Great work life balance found here., Good life-work balance a lot of new technologies nice leadership , Great people and culture, easy going","Keysight will make you believe in their corporate values, work-life balance, and care for its people while delivering on none - a truly remarkable skill.",,No not at all problem,"Paid at bit less than some hardware companies, but still better than most",Management structure can change often.,"Have low or rare interaction with colleagues, and have no celebration for for events or holiday. The way they celebrate is more like decorating the place and post in online, without food.",After a while things become repetitively,"Aging working space, need refreshment., Uncompetitive salary Depending on where you are the work life balance may be terrible",988,3.84,3.67,3.79,4.2,4.22,4.15,5
15,Kohler-Co.,Some people make good money and there is room for continued career growth.,"Great products. Good benefits and pay., Solid Benefits package. Discount on numerous products/services. Offers pension.",Current CIO is a great guy with a good vision.,"Provides good work-life balance in most departments, amazing in global role, lots of time off.","A multinational company that instills its core values into every aspect of its business, innovative.",,Low pay for salary positions. Poor advancement opportunities. I don't feel like there is much room for advancement.,Salary is very low as compared with similar organization. Discount on numerous products/services may not be enough.,,Completely toxic culture. Expected to have no work life balance while the company tries to promote work life balance.,"Poor culture, no trust, slow decision making, Company is old-fashioned in their values, lack of diversity makes it difficult for diverse ideas to stick.","hierarchies, infirieority complex, Politics, quantity based performance reviews vs quality, Rasist, sexist.",1359,3.59,3.76,3.32,3.45,3.58,3.74,1
16,Kroger,"Flexible schedule, great opportunity for advancement within the company.","Value you as an employee, good pay, Paid weekly or even daily, Decent Benefits, Access to Daily Pay, Weekly pay and growth offered",,"Some work life balance, Flexible hours, Some flexibility in scheduling. You are able to work only when you want to not just when they tell you.",Engagement with good people at all levels indicates a positive corporate culture.,,Nothing notable mentioned about career opportunities,"Low pay with no bonuses, Base salary isnt quite competitive in Denver Market, Management is so focused on saving a few dollars for the bonus they get that they treat workers like disposable drones that don't matter, have ideas, or can do anything correctly.",Terrible management; low pay; no management,"Lots of varying shifts and crazy schedules, Very understaffed, expected to stay past shift hours. If they had more help it would make the experience better., Lack of support, help, work life balance. People tend to call out ALOT and leaves those who are their to carry the department and will usually lead to burn outs., No work life balance and you feel obligated to stay and help out., Horrible Work/Life Balance.. They expect you to work yourself to death., Super busy during holidays",,,70,3.07,3.02,2.75,2.93,3.02,3.54,3
17,LVMH,Good place to work. Lots of opportunities,Great benefits and commission was available but very competitive. Hours and pay are great.,"management is young, agile and professional.","Four days a week Lunch allowance, Good hours 9-5, good holidays and pension","Wonderful product, generous company, amazing product discounts, fun and social culture, Amazing company with awesome & fun culture.",,,"Pay should have been more, about 20-30% lower base pay, underpay compared with local market",Some worst people in top leadership position as market leaders. Unbelievably selfish and harmful for the organization culture.,"* No work/life balance. * High pressure workload, stressful deadlines with little support.",Company Culture has room to improve,Lacked structure and good process in some departments,1837,3.55,3.58,3.4,3.35,3.6,3.67,1
18,La-Quinta,Quick advancement and lots of potential,"Good starting pay, hour flexibility, uniform provided. COULD get an employee discount",The GM and AGM are super nice....the employee are like a small little family....everyone gets along!,Flexible in scheduling and career growth opportunities available.,It was a wonderful place to work.,"I worked there while in college, my managers were very flexible and understanding of my college schedule.","Very few pros, they are struggling",pay is low for amount of stress,,Short staffing and long hours,,Homless people attacking all the guest,2184,3.0,2.68,3.14,3.3,3.21,3.66,4
19,Landmark-Properties,Landmark offers many paths up the corporate ladder and numerous career opportunities.,"Good salary and benefits are offered by Landmark, with PTO available for employees.",Great company culture with good corporate management,"Hybrid work schedules are available for those who need them, allowing for a better work-life balance.",The culture fit and values are so important to the business and this helps bring in the right people.,,"Low quality management, gossip fear based culture, There have been reports of bad culture and people, as well as stuck-up managers.","Management would bully people out often. There is a serious favoritism issue within the company and the pay is horrible, no matter what experience you have.","Lack exposure to senior management, Higher ups truly do not seem to care for their employees.","- NO WORK life balance. Regionals do nothing while site teams work 24/7. You never get to take paid time off., Work-life balance is hard when working on-site. Benefits are expensive.",Lack of diversity is an issue as well.,,2911,3.74,3.21,3.41,3.26,3.61,3.73,1
20,Legrand,You'll have infinite opportunities to learn and grow within a large conglomerate of many small companies.,"The company offers good pay, 401k, health insurance, paid time off, and other great benefits.","Senior management is experienced and knowledgeable in their respective fields, providing guidance and support to teams.","The company prioritizes work-life balance, offering flexible scheduling and time-off policies.","The company culture emphasizes collaboration, innovation, and respect for diversity and individuality. The company actively promotes diversity and inclusion initiatives, fostering a welcoming environment for all employees.",,"For some, navigating a large, complex organization can be difficult.","Not competitive in wages until recently, and low salary package.",Some employees have reported that senior management can be slow to adapt to new ideas or changes.,"The work-life balance can shift during busy periods, leaving some employees feeling overwhelmed.","Lots of sarcasm among the managers, and a few real pervs in the place.",,2507,3.38,3.47,3.13,3.53,3.35,3.46,4
21,Levi-Strauss,A lot of opportunities and space to learn. A lot of things that are taught are helpful in everyday life.,"Very good pay package, including yearly increase of 3.25% on the base salary., Great Benefits that covered standard checkups as well mental health, dental and vision contributions were pretty cheap, Competitive Bay area salary -Benefits are superb -Hybrid work policy","Leadership is top notch and supports your growth and learnings, Strong upper management team with solid training and advanced technology","Excellent work-life balance very friendly environment, It is easy to maintain work and life balance., Good attention to employee well being , inclusivity and diversity programme","Company with good core values., The company's strong cultural values align with many employees' own values, creating a sense of community and belonging.","Good attention to employee well being , inclusivity and diversity programme","Some career growth and development opportunities available, Some managers not managing in a good way","Not good pay, uniform allowance is not enough for full time people.",-Upper management micro-managed and stalked cameras. Making the work experience feel like you're in an interrogation room.,"Needed to have open availability. Terrible hours would leave at 3 am during closing shifts., Hours can be unsociable weekends etc., Favoritism and politics mentioned as issues","-A lot of on-going sexual harassment issues, Toxic Management. Over the last two years the employee turnover we had was quite high because everything came down to how we were doing compared to our pre-pandemic numbers.",-a lot of on-going sexual harassment issues - managers are very young and can be unprofessional,727,3.39,3.7,3.53,3.75,4.1,4.21,2
22,ArcelorMittal,"Opportunities to develop into a good engineer, It is not in all cases that one could be lucky with a good manager, but overall there are good career opportunities.","Wages on time, some employee bonuses every month/quater, I like the pay and insurance benefits",,"There is an acceptable work life balance, Some employees appreciate the flexible work schedules and good work-life balance.",Great Culture and excellent people,,There very little room for growth,"Poor management, not receiving all required benefits for working conditions","Difficult to get promotion if you are newer employee or due company ""structure""","Shift work can wear on you, People are getting overworked there, no work/life balance","Global scale can create drag on change, and mean some parts of the business act as local enterprise without regard for wider company. Hard to see values being applied consistently.","There have been issues with racism, unequal oppression, and retaliation within the company.",1621,3.14,3.27,2.94,3.17,3.11,3.36,4
23,Liberty-Mutual-Insurance,Clear career growth - job families have clear pathways to growth opportunities.,"Good pay, generous benefits, and competitive compensation options.",,"Liberty Mutual allows for work-from-home arrangements, flexible work hours, and a great work-life balance.","Diversity, Equity, and Inclusion are ingrained into the culture and in how business is conducted. The Company embraces technology and invests in the latest technologies and tools to improve productivity, efficiency, and collaboration.","The company prioritizes diversity & inclusion, creating a collaborative culture with attorneys, where everyone can learn valuable skills.",,Pay could be a lot better,"As with many large organizations, there may be some bureaucracy involved in decision-making processes, which can slow down progress and make it difficult to implement new ideas or initiatives.","Work-life balance can be a struggle due to shift assignments without say, except for rare shift bids that are rarely accepted.","Some managers may not lead by example, and their micro-managing style can be a challenge.",There are petty individuals who have risen to the top and may punish others with poor reviews if they dislike them.,219,3.7,3.92,3.48,3.72,3.86,4.03,2
24,LifePoint-Health,Opportunity for advancement if you show a desire to learn and grow.,"Competitive pay and great benefits, including medical, 401 k, CEU reimbursement, and flexible scheduling.",,"Remote, flexible hours, EIB time, I enjoyed having weekends off.","Very inclusive, laidback, engaging environment!!",,Lack of advancement opportunities or growth,Pay for staff is often not competitive. 401k match is poor at best.,Leadership shifts frequently. Senior executives do not like to be questioned and seem to be hiring/promoting incompetent candidates.,Life work balance is a difficulty burnout is a problem,It’s a pretty toxic environment with so many political games.,Favoritism and jealousy play a major part with managers.,2792,3.28,3.18,2.96,3.25,3.28,3.54,4
25,LifeWorks,,"Pretty good benefits plan, sick time and vacation.",,"Fully remote but still feel engaged, Flexibility and good coworkers, everyone is great to work with.","Defines diversity, inclusion & respect, people are extreme welcoming and supportive.",,"Unless you are a new graduate that needs a startup job to enter the industry, or you are crystal clear that no one else is willing to hire you, JUST AVOID THIS PLACE AT ALL COST.",,"horrible management to many ideas for change that cause work flow and duties to change conesntly favouritism, Upper management overwork the counsellors (expected to see 7 clients each 8-hour shift), pay us poorly, and when we raise valid concerns about feeling burned out, they dismiss and gaslight us.",Sometimes we do a lot of working hours,"Systemic sexism and racism. Favored white candidates. The rest , our apps were ignored basically.","Systemic sexism and racism. Favored white candidates. The rest , our apps were ignored basically.",1008,3.33,3.04,3.29,3.58,3.6,3.97,1
26,Little-Caesar's,"While there isn't much advancement available here, it is possible to move up to supervisory roles with some experience.","Decent food, free/ discount meals, Good pay and great company. I recommend any department except HRIS. Makes you feel welcomed and gives good perks.",Management are great to work with and provide great instruction/feedback,"Flexible schedule is offered, which can help with work-life balance.","Free food, cool people, decent atmosphere",,"Awful Pay Hostile Management Sexual Harassment issues that lie unresolved, typical food industry stuff. over worked and under paid","Bad management, bad employees, decent food, No breaks, a lot of no call no shows, over worked, underpaid, Low wages and strict uniform policy, Super busy sometimes, people can be mean, Not the most professional environment, and is somewhat boring","Pay is better if you’re a manager., Don't care if you're left alone and working long over your closing time., minimum wage pay, crappy management and very perverted managers that have sexually assaulted workers",,,,460,2.87,2.37,2.87,3.06,2.96,3.53,3
27,M-and-C-Saatchi-Group,"Great career opportunities to learn about new topics and develop skills, many famous clients to explore","Good salary good location habitat, A good name to have on a CV & nice office. Good benefits such as health insurance.",,,"great culture - love working here, Great culture in the workplace, Some excellent diversity initiatives that walk the walk",,"No room for growth in the department I was in. Stuck in the past, focusing on past glories.","Comparatively low pay, Challenging work hours","Senior management didn't care about the people, An old boys club who are trying their best to improve D&I but are miles off","Workload is ridiculous, poor work life balance., long hours and hard work, need to survive under a lot deadline pressure",Can feel a bit old fashioned. Not very smart bunch of people.,"Perhaps not the most diverse environment to be in., Very few women in leadership",3189,3.29,2.91,2.82,2.75,3.31,3.22,3
28,MAHLE-International,Good career opportunities with diverse international friendship might be limited by salary constraints.,"good pay, profit sharing, benefits are ok",Management is pretty good and wants you to succeed.,Good work life balance for everyone. I am working here for last 2 years.This is the good company for the job security and easy to manage work life balance for work life and personal life.,Awesome Work Culture and proper organizational structure,,some employee may not be so nice as they sits in an important position,Slow growth in terms of salary,,Work life balance would be quite impossible!,Little bit politics compare to other.,"Absolutely centered on the who you know system. The few ladies that work here are marginalized and laughed at., MAHLE is full of the same old white dudes who jump from position to position.",2455,3.33,3.37,3.05,3.4,3.33,3.61,4
29,MD-Anderson-Cancer-Center,The company offers various career paths for its employees to grow and develop.,"Good benefit, good compensation packages. Great benefits. Always listens to employee feedback. Flexible. Established remote work.",Our executives are beyond the best team of execs I have ever worked under.,"Fully remote, good work/life balance. Wonderful work/life balance. Flexible supervisors.","The core values are agreeable., Culture and environment at MD Anderson is very positive.",,Is hard to get In mMD Anderson or move around inside for better opportunities. New hires do not last within the department as there is limited opportunity for growth.,"Lower pay as a state institution, some barriers to promotion unless you have the required years of experience, projects may be slow to move",,Long hours and no overtime,"Some people may find the company's environment toxic or not employee-friendly., Inequality, no leniency, if you always work above and beyond your job there is no recognition.",Get rid of older workers that believe they have seniority and don’t bother to continue to follow rules. Paying for parking,792,3.96,4.07,3.71,3.89,4.16,4.33,5
30,Magellan-Health,Wide range of opportunities for growth and advancement in various departments.,"Good salary, great benefits, many remote opportunities! The benefits were absolutely awesome. Benefits are decent.",Great Leadership and good work environment,Good work-life balance with a people-first mentality and flexible scheduling options.,A positive company culture that encourages work-life balance and team collaboration.,Hire many prior military and spouses,"Unless you're a favorite or part of the inner circle, you won't get promoted. There were not many opportunities for advancement.","Pay and benefits not good. Low pay for the work. The pay is ok, could be better. The benefits are horrendous.",This is the worst leadership I have ever witnessed. They do not help resolve mounting issues. Good old boy system as it relates to upper nangement.,Scheduled lunch/breaks. 30 minute lunch break. No flexibility. Tied to calling queue.,Lots of office politics.,"The CEO sends out racist and sexist company wide emails which the HR reps state is an accurate representation of the company's core values, the management team has zero loyalty towards employees, not much room for advancement if any.",1556,3.24,3.53,3.14,3.45,3.42,3.69,4
31,Mass-General-Brigham,"Great career opportunities and room for growth, Lead to different career opportunities in the system","Excellent respect of work life balance, excellent benefits; Great employee benefits and health insurance.",Manager was extremely supportive and helped me grow while giving me clear bounds on things I needed to improve on.,Excellent respect of work life balance,,,"Once onboard, it’s impossible to get ahead without applying for a different job within the organization which isn’t good if you really love what you do; No room for career growth","Low salaries for the amount of work we do.; Pay more and provide more research opportunities; Neoptism, Poor Pay Scale , Low compensation and being compensated.","Administration, pay, dogmatic management approach; A lot of “leadership” and I use the term loosely use bully tactics to make employees feel unwelcome. HR is nonexistent and the pay is abysmal.",,The “diversity” they claim to be so proud of is all for show.,No good communication between supervisors and leadership. They make drastic decisions without the opinion of employees or supervisors.,1884,3.62,3.49,3.41,3.74,3.71,3.87,1
32,Massey-Services,The company offers various career growth opportunities.,All the benefits from pay medical and retirement are the best I have ever had or seen any company have to offer.,,"Flexible hours that allow for a great work life balance, Could not ask for a better place to work.","True sense of belonging and overall great work environment, Massey cares about their people and put family first.",,,"Underpay for entry and intermediate level employees, Low pay, overwork, working every weekend","Regionals are puppets who regurgitate information from the narcissist in charge., Higher Cooperate Management does not recognize employee potential and will not promote within.","Worklife balance sucks, very long hours and depending on where you are ALOT of driving, Work life balance isn't there. If you have a family, get use to getting home and telling them good night.",,,3086,2.99,3.06,2.62,2.46,2.89,3.11,3
33,Asplundh,A job you can get when you need something in between your preferred career options.,"Market Rate Pay, Hybrid Schedule, 10% Bonus, Variety of Health, Vision, & Dental Plans, Good health care Benefits",,"Outside work and small groups, Consistent hours, Ability to work in the fresh air",,,"There are zero pros to working for them, Poor management terrible equipment and really low pay max foreman in Florida only make $21. Not a career, Other tree companies pay better","The heat, the fact it’s non union. Terrible benefits, pay was lacking., Low pay for hard work. No paid vacation. Poor work life balance in management positions.","I was discriminated against by my general foreman and when I reported it to management I was told to drop it if I liked my job, You will be super micromanged and you will not be promoted ever. Just get your cdl b and give them a year or 2500 and leave.","Doesn’t always seem the safest push you to work long hours with no sleep def under paid for what u have to do, Storm calls can cancel plans., Heat, to much fir little pay to many bosses",Most regions are good ole boy culture. Managers are only after a large bonus….. real money is there and up.,"-To many chiefs and not enough indians -Compensation isn't nearly enough for work expected, Not minority friendly but if you're white you get promoted in 6 months. They're secretly racist and play heavy favoritism.",2748,3.35,3.21,2.87,3.15,3.1,3.48,4
